Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Team,Possession
Totals,,,,,990,1,1,0,0,6,4,3,0,367,11,8,10,1.0,1.0,0.9,11,2,161,255,63.1,19,156,12,15,7,Almería,0.28
Totals,,,,,990,0,0,0,0,13,1,3,0,725,13,5,5,1.1,1.1,1.1,26,0,538,642,83.8,75,462,36,14,11,Barcelona,0.72
